,cod,message,coord,weather,base,main,visibility,wind,rain,clouds,dt,sys,timezone,id,name,snow
48,200,,"{'lon': 54.0924, 'lat': 17.0151}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 28, 'feels_like': 31.21, 'temp_min': 28, 'temp_max': 28, 'pressure': 1010, 'humidity': 74}",10000.0,"{'speed': 1.03, 'deg': 30}",,{'all': 40},1619230387.0,"{'type': 1, 'id': 7562, 'country': 'OM', 'sunrise': 1619229719, 'sunset': 1619275274}",14400.0,286621.0,Salalah,
49,200,,"{'lon': -126.8329, 'lat': 65.282}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 2, 'feels_like': -1.9, 'temp_min': 2, 'temp_max': 2, 'pressure': 1022, 'humidity': 32}",10000.0,"{'speed': 4.12, 'deg': 290}",,{'all': 75},1619230103.0,"{'type': 1, 'id': 951, 'country': 'CA', 'sunrise': 1619180310, 'sunset': 1619238736}",-21600.0,6089245.0,Norman Wells,
50,200,,"{'lon': 27.4488, 'lat': -20.6246}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 14, 'feels_like': 12.74, 'temp_min': 14, 'temp_max': 14, 'pressure': 1016, 'humidity': 49, 'sea_level': 1016, 'grnd_level': 883}",10000.0,"{'speed': 3.24, 'deg': 79, 'gust': 5.28}",,{'all': 0},1619230388.0,"{'country': 'BW', 'sunrise': 1619238258, 'sunset': 1619279522}",7200.0,933390.0,Masunga,
51,200,,"{'lon': 38.3, 'lat': 4.05}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 14.58, 'feels_like': 14.42, 'temp_min': 14.58, 'temp_max': 14.58, 'pressure': 1012, 'humidity': 89, 'sea_level': 1012, 'grnd_level': 820}",10000.0,"{'speed': 2.57, 'deg': 79, 'gust': 2.86}",,{'all': 14},1619230388.0,"{'country': 'ET', 'sunrise': 1619234258, 'sunset': 1619278314}",10800.0,331259.0,Mēga,
52,200,,"{'lon': 147.0587, 'lat': -42.7826}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 13.28, 'feels_like': 12.65, 'temp_min': 11.11, 'temp_max': 15, 'pressure': 1013, 'humidity': 76}",10000.0,"{'speed': 2.24, 'deg': 329, 'gust': 5.36}",,{'all': 96},1619230240.0,"{'type': 3, 'id': 2031307, 'country': 'AU', 'sunrise': 1619211215, 'sunset': 1619249159}",36000.0,2155415.0,New Norfolk,
53,200,,"{'lon': -97.8558, 'lat': 55.7435}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': -6, 'feels_like': -11.3, 'temp_min': -6, 'temp_max': -6, 'pressure': 1018, 'humidity': 42}",10000.0,"{'speed': 3.6, 'deg': 340}",,{'all': 20},1619230389.0,"{'type': 1, 'id': 935, 'country': 'CA', 'sunrise': 1619175949, 'sunset': 1619229190}",-18000.0,6165406.0,Thompson,
54,200,,"{'lon': -155.09, 'lat': 19.7297}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,"{'temp': 21.44, 'feels_like': 21.23, 'temp_min': 18.33, 'temp_max': 25, 'pressure': 1017, 'humidity': 61}",10000.0,"{'speed': 5.14, 'deg': 100}",{'1h': 0.15},{'all': 90},1619229944.0,"{'type': 1, 'id': 7881, 'country': 'US', 'sunrise': 1619193370, 'sunset': 1619239239}",-36000.0,5855927.0,Hilo,
55,200,,"{'lon': 147.9167, 'lat': 70.6333}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,"{'temp': -12.29, 'feels_like': -12.29, 'temp_min': -12.29, 'temp_max': -12.29, 'pressure': 1022, 'humidity': 85, 'sea_level': 1022, 'grnd_level': 1018}",10000.0,"{'speed': 0.63, 'deg': 163, 'gust': 0.78}",,{'all': 18},1619230173.0,"{'country': 'RU', 'sunrise': 1619197892, 'sunset': 1619262070}",39600.0,2126123.0,Chokurdakh,
56,200,,"{'lon': 168.8643, 'lat': -46.1927}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 9.44, 'feels_like': 9.44, 'temp_min': 9.44, 'temp_max': 9.44, 'pressure': 1009, 'humidity': 89}",10000.0,"{'speed': 0.45, 'deg': 232, 'gust': 2.24}",,{'all': 99},1619230389.0,"{'type': 3, 'id': 2008959, 'country': 'NZ', 'sunrise': 1619206333, 'sunset': 1619243575}",43200.0,6201424.0,Mataura,
57,404,city not found,,,,,,,,,,,,,,
58,200,,"{'lon': -133.0374, 'lat': 69.4541}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': -7, 'feels_like': -13.4, 'temp_min': -7, 'temp_max': -7, 'pressure': 1023, 'humidity': 73}",10000.0,"{'speed': 4.63, 'deg': 120}",,{'all': 75},1619230390.0,"{'type': 1, 'id': 942, 'country': 'CA', 'sunrise': 1619179777, 'sunset': 1619242247}",-21600.0,6170031.0,Tuktoyaktuk,
